,,,,,,,,,,
start,start time,end,end time,class,App variable,Table,Schema variable,method,Map source,Valid in use case
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,274962,Carrier.java,carrierCnpj,national_freight,carrier_cnpj,row mapper,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Carrier.java,logisticContract,national_freight,logistic_contract,row mapper,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Carrier.java,days,national_freight,days,row mapper,,use case 1
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",8f57d25cc0984ffce7056a1311cbff3d155206b2,"November 30, 2012 at 14:32:07 GMT-5",Carrier.java,accessorialCost,national_freight,accessorial_cost,row mapper,,use case 1
3b693a187af687e45f9b5b46d59624fd0f59067c,"September 25, 2012 at 15:25:59 GMT-4",cd7381179e0d836378f4c653d3318cb4b8e1e8c3,"October 17, 2012 at 11:13:46 GMT-4",FreightByValueResultSet.java,percentage,CKWL_FRETE_POR_VALOR_CAT_E_ID,porcentagem_frete,row mapper,,
3b693a187af687e45f9b5b46d59624fd0f59067c,"September 25, 2012 at 15:25:59 GMT-4",cd7381179e0d836378f4c653d3318cb4b8e1e8c3,"October 17, 2012 at 11:13:46 GMT-4",FreightByValueResultSet.java,category,CKWL_FRETE_POR_VALOR_CAT_E_ID,nr_categoria,row mapper,,
cd7381179e0d836378f4c653d3318cb4b8e1e8c3,"October 17, 2012 at 11:13:46 GMT-4",8f4ad2654197977ceb036eef73e35cfd20556ef8,"July 31, 2013 at 14:39:42 GMT-4",FreightByValueResultSet.java,percentage,CKWL_FRETE_POR_VALOR_ESPECIAL,porcentagem_frete,row mapper,,
cd7381179e0d836378f4c653d3318cb4b8e1e8c3,"October 17, 2012 at 11:13:46 GMT-4",8f4ad2654197977ceb036eef73e35cfd20556ef8,"July 31, 2013 at 14:39:42 GMT-4",FreightByValueResultSet.java,category,CKWL_FRETE_POR_VALOR_ESPECIAL,nr_categoria,row mapper,,
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",868318653e0603fcd04859be606108beec4af13a,"August 30, 2013 at 12:05:17 GMT-4",FreightVO.java,carrierTime,B2W_CKT_FR_DAYS,DAYS,row mapper,freightrepository,valid inuse case 1 & 2
d2569a1e418f35ef117cad4d40b1ac2e2ef4f084,"November 4, 2011 at 10:33:14 GMT-4",868318653e0603fcd04859be606108beec4af13a,"August 30, 2013 at 12:05:17 GMT-4",FreightVO.java,warehouse,B2W_CKT_FR_DAYS,warehouse_id,row mapper,freightrepository,valid inuse case 1 & 2
